,item,IAB_Candidates,scores
338,Guitar,"['Musical Instruments', 'Musical Instruments', 'Music and Audio', 'Music and Audio']",3
339,pot,"['Home & Garden', 'Gardening', 'Flower Shopping']",3
340,dining_room,['Home & Garden'],3
341,patio,"['Home & Garden', 'Home Entertaining', 'Real Estate', 'Barbecues and Grilling', 'Home & Garden', 'Landscaping']",3
342,Houseplant,"['Home & Garden', 'Gardening']",3
343,greenhouse,"['Gardening', 'Flower Shopping']",3
344,Vase,['Gardening'],3
345,greenhouse/outdoor,['Gardening'],3
346,Flower,"['Gardening', 'Flower Shopping']",3
347,acorn,['Gardening'],3
348,tree_farm,"['Gardening', 'Landscaping', 'Land and Farms']",3
349,formal_garden,['Gardening'],3
350,barrow,"['Gardening', 'Landscaping']",3
351,japanese_garden,"['Gardening', 'Landscaping']",3
352,botanical_garden,"['Gardening', 'Landscaping']",3
353,roof_garden,['Gardening'],3
354,vegetable_garden,"['Gardening', 'Landscaping', 'Home & Garden']",3
355,coffeepot,['Home Appliances'],3
356,refrigerator,['Home Appliances'],3
357,washer,['Home Appliances'],3
358,Washing machine,['Home Appliances'],3
359,Kitchen appliance,['Home Appliances'],3
360,Toaster,['Home Appliances'],3
361,Dishwasher,['Home Appliances'],3
362,dishwasher,['Home Appliances'],3
363,Oven,['Home Appliances'],3
364,House,"['Home Entertaining', 'Home Improvement', 'Home Security', 'Landscaping', 'Remodeling & Construction', 'Smart Home', 'Apartments', 'Houses', 'Home Appliances']",3
365,house,"['Home Entertaining', 'Home Improvement', 'Apartments', 'Smart Home', 'Home Appliances', 'Home Security', 'Houses']",3
366,beach_house,"['Home Entertaining', 'Houses', 'Beach Travel', 'Home Appliances', 'Home Security', 'Real Estate']",3
367,garage/indoor,['Home Improvement'],3
368,construction_site,"['Home Improvement', 'Remodeling & Construction', 'Real Estate', 'Office Property']",3
369,garage/outdoor,"['Home Improvement', 'Houses']",3
370,Window,"['Home Security', 'Houses', 'Office Property']",3
371,Car passing by,"['Auto Rentals', 'Green Vehicles', 'Luxury Cars']",3
372,lawn,['Landscaping'],3
373,gasmask,['Remodeling & Construction'],3
374,Carnatic music,['Music and Audio'],3
375,Cash register,"['Business and Finance', 'Financial Industry', 'Casinos & Gambling', 'Shopping']",3
376,loudspeaker,"['Music and Audio', 'Consumer Electronics']",3
377,Headphones,['Music and Audio'],3
378,CD player,['Music and Audio'],3
379,Cat,"['Pets', 'Cats', 'Pets', 'Cats', 'Large Animals', 'Cats', 'Pets']",3
380,"Cattle, bovinae","['Large Animals', 'Land and Farms']",3
381,Cello,"['Musical Instruments', 'Musical Instruments', 'Music and Audio', 'Music and Audio']",3
382,"Chicken, rooster",['Cooking'],3
383,music_studio,"['Music and Audio', 'Pop Culture']",3
384,Pembroke,['Pets'],3
385,bluetick,['Pets'],3
386,French bulldog,['Pets'],3
387,Polar bear,"['Pets', 'Large Animals']",3
388,English setter,['Pets'],3
389,Tibetan terrier,"['Pets', 'Dogs']",3
390,Saint Bernard,['Pets'],3
391,schipperke,['Pets'],3
392,Samoyed,['Pets'],3
393,Angora,['Pets'],3
394,Rabbit,['Pets'],3
395,whippet,['Pets'],3
396,Cow,"['Pets', 'Large Animals', 'Land and Farms']",3
397,American Staffordshire terrier,"['Pets', 'Dogs']",3
398,pug,"['Pets', 'Dogs']",3
399,Owl,"['Pets', 'Birds', 'Birds']",3
400,Maltese dog,['Pets'],3
401,West Highland white terrier,['Pets'],3
402,beagle,"['Pets', 'Dogs']",3
403,toy terrier,"['Pets', 'Dogs']",3
404,toy poodle,"['Pets', 'Dogs']",3
405,Chihuahua,"['Pets', 'Dogs']",3
406,Dandie Dinmont,"['Pets', 'Dogs']",3
407,Sealyham terrier,"['Pets', 'Dogs']",3
408,dalmatian,"['Pets', 'Dogs']",3
409,Leonberg,"['Pets', 'Dogs']",3
410,kuvasz,"['Pets', 'Dogs']",3
411,groenendael,"['Pets', 'Dogs']",3
412,Appenzeller,"['Pets', 'Dogs']",3
413,EntleBucher,"['Pets', 'Dogs']",3
414,veterinarians_office,"['Pets', 'Birds', 'Cats', 'Dogs']",3
415,Dog,"['Pets', 'Dogs', 'Large Animals', 'Pets', 'Dogs', 'Large Animals', 'Pets', 'Dogs', 'Large Animals']",3
416,partridge,['Birds'],3
417,prairie chicken,['Birds'],3
418,drake,['Birds'],3
419,Falcon,['Birds'],3
420,toucan,['Birds'],3
421,Sparrow,['Birds'],3
422,Parrot,['Birds'],3
423,pelican,['Birds'],3
424,macaw,['Birds'],3
425,hen,['Birds'],3
426,peacock,['Birds'],3
427,Child singing,['Music and Audio'],3
428,Siamese cat,['Cats'],3
429,tabby,['Cats'],3
430,Egyptian cat,['Cats'],3
431,Persian cat,['Cats'],3
432,kelpie,['Dogs'],3
433,standard poodle,['Dogs'],3
434,Border collie,['Dogs'],3
435,Kerry blue terrier,['Dogs'],3
436,Dog bed,"['Dogs', 'Pets']",3
437,flat-coated retriever,['Dogs'],3
438,Yorkshire terrier,['Dogs'],3
439,Norwegian elkhound,['Dogs'],3
440,Pomeranian,['Dogs'],3
441,chow,['Dogs'],3
442,Great Dane,['Dogs'],3
443,Weimaraner,['Dogs'],3
444,Labrador retriever,['Dogs'],3
445,Eskimo dog,['Dogs'],3
446,Pig,"['Large Animals', 'Large Animals']",3
447,Ostrich,['Large Animals'],3
448,Bouvier des Flandres,['Large Animals'],3
449,ram,['Large Animals'],3
450,Goat,['Large Animals'],3
451,ostrich,['Large Animals'],3
452,Rhinoceros,['Large Animals'],3
453,llama,['Large Animals'],3
454,Cattle,"['Large Animals', 'Land and Farms']",3
455,Sheep,"['Large Animals', 'Large Animals', 'Large Animals']",3
456,ox,['Large Animals'],3
457,snow leopard,['Large Animals'],3
458,tiger cat,['Large Animals'],3
459,common newt,['Reptiles'],3
460,hognose snake,['Reptiles'],3
461,green snake,['Reptiles'],3
462,sea snake,['Reptiles'],3
463,Tortoise,['Reptiles'],3
464,African crocodile,['Reptiles'],3
465,Crocodile,['Reptiles'],3
466,Reptile,"['Reptiles', 'Zoos & Aquariums']",3
467,African chameleon,['Reptiles'],3
468,whiptail,['Reptiles'],3
469,Gila monster,['Reptiles'],3
470,American chameleon,['Reptiles'],3
471,agama,['Reptiles'],3
472,common iguana,['Reptiles'],3
473,green lizard,['Reptiles'],3
474,banded gecko,['Reptiles'],3
475,frilled lizard,['Reptiles'],3
476,Lizard,['Reptiles'],3
477,"Child speech, kid speaking","['Family and Relationships', 'Daycare and Pre-School', 'Parenting']",3
478,Countertop,['Apartments'],3
479,Bed,"['Apartments', 'Hotel Properties', 'Hotels and Motels']",3
480,apartment_building/outdoor,['Apartments'],3
481,Studio couch,['Apartments'],3
482,studio couch,"['Apartments', 'Houses']",3
483,balcony/exterior,"['Apartments', 'Hotel Properties', 'Houses']",3
484,Swimming pool,['Hotel Properties'],3
485,dining_hall,['Hotel Properties'],3
486,bannister,['Houses'],3
487,gazebo/exterior,['Houses'],3
488,barn,"['Houses', 'Land and Farms']",3
489,driveway,"['Houses', 'Landscaping']",3
490,Children playing,"['Family and Relationships', 'Daycare and Pre-School', 'Parenting', ""Children's Games and Toys""]",3
491,corn_field,"['Land and Farms', 'Food Industry']",3
492,farm,['Land and Farms'],3
493,pasture,['Land and Farms'],3
494,wheat_field,['Land and Farms'],3
495,worm fence,['Land and Farms'],3
496,office_building,"['Office Property', 'Business and Finance']",3
497,coffee_shop,"['Retail Property', 'Food Industry', 'Malls & Shopping Centers', 'Bars & Restaurants', 'Food & Drink', 'Desserts and Baking', 'Dining Out', 'Non-Alcoholic Beverages', 'Shopping']",3
498,vestment,['Religion & Spirituality'],3
499,Marine invertebrates,"['Science', 'Zoos & Aquariums']",3
500,lab coat,"['Science', ""Men's Formal Wear"", ""Women's Formal Wear"", ""Women's Clothing""]",3
501,Petri dish,['Science'],3
502,beaker,['Science'],3
503,chemistry_lab,['Science'],3
504,physics_laboratory,['Science'],3
505,Jeans,"['Shopping', 'Style & Fashion', ""Men's Formal Wear""]",3
506,Cart,"['Shopping', 'Grocery Shopping', 'Holiday Shopping']",3
507,supermarket,"['Shopping', 'Grocery Shopping']",3
508,grocery store,"['Shopping', 'Grocery Shopping']",3
509,Footwear,"['Shopping', 'Style & Fashion', ""Women's Shoes and Footwear""]",3
510,hardware_store,"['Shopping', 'Home Appliances']",3
511,fabric_store,['Shopping'],3
512,gift_shop,"['Shopping', ""Children's Games and Toys"", ""Women's Jewelry and Watches""]",3
513,Teddy bear,"[""Children's Games and Toys""]",3
514,Kite,"[""Children's Games and Toys""]",3
515,swing,"[""Children's Games and Toys""]",3
516,Toy,"[""Children's Games and Toys""]",3
517,Sunflower,['Flower Shopping'],3
518,Rose,['Flower Shopping'],3
519,hip,['Flower Shopping'],3
520,Lily,['Flower Shopping'],3
521,cardoon,['Flower Shopping'],3
522,daisy,['Flower Shopping'],3
523,florist_shop/indoor,['Flower Shopping'],3
524,fur coat,"['Holiday Shopping', 'Style & Fashion']",3
525,Christmas tree,['Holiday Shopping'],3
526,Christmas stocking,['Holiday Shopping'],3
527,Scissors,['Household Supplies'],3
528,Bathroom cabinet,['Household Supplies'],3
529,Children shouting,['Parenting'],3
530,Trousers,"['Style & Fashion', ""Women's Clothing"", ""Men's Clothing""]",3
531,Jacket,"['Style & Fashion', ""Men's Casual Wear"", ""Men's Clothing""]",3
532,abaya,['Style & Fashion'],3
533,trench coat,"['Style & Fashion', ""Men's Formal Wear"", ""Women's Formal Wear"", ""Women's Clothing""]",3
534,Handbag,"['Style & Fashion', ""Women's Handbags and Wallets"", ""Women's Clothing"", ""Women's Handbags and Wallets""]",3
535,Coat,"['Style & Fashion', ""Men's Casual Wear"", ""Men's Formal Wear"", ""Women's Formal Wear"", ""Women's Clothing"", ""Men's Clothing""]",3
536,Wardrobe,"['Style & Fashion', 'Beauty']",3
537,Fashion accessory,"['Style & Fashion', 'Perfume and Fragrance', 'Makeup and Accessories', 'Prom']",3
538,Cowboy hat,"[""Men's Casual Wear"", ""Men's Clothing""]",3
539,jean,"[""Men's Casual Wear"", ""Men's Formal Wear"", ""Women's Formal Wear"", ""Women's Clothing"", ""Men's Clothing""]",3
540,jersey,"[""Men's Casual Wear"", ""Women's Clothing"", ""Men's Clothing""]",3
541,cowboy hat,"[""Men's Casual Wear""]",3
542,Windsor tie,"[""Men's Formal Wear""]",3
543,Chopping (food),"['Food & Drink', 'Cooking']",3
544,miniskirt,"[""Women's Formal Wear""]",3
545,Woman,"[""Women's Formal Wear"", ""Women's Clothing""]",3
546,buckle,"[""Women's Handbags and Wallets"", ""Women's Jewelry and Watches"", ""Men's Clothing""]",3
547,Briefcase,"[""Women's Handbags and Wallets"", 'Travel Accessories']",3
548,Luggage and bags,"[""Women's Handbags and Wallets"", 'Travel Accessories', 'Air Travel', 'Australia and Oceania Travel']",3
549,wallet,"[""Women's Handbags and Wallets"", 'Travel Accessories']",3
550,purse,"[""Women's Handbags and Wallets""]",3
551,necklace,"[""Women's Jewelry and Watches""]",3
552,Earrings,"[""Women's Jewelry and Watches""]",3
553,Necklace,"[""Women's Jewelry and Watches""]",3
554,bathroom,['Bath and Shower'],3
555,Bathtub,['Bath and Shower'],3
556,Towel,['Bath and Shower'],3
557,Soap dispenser,['Bath and Shower'],3
558,soap dispenser,['Bath and Shower'],3
559,bathtub,"['Bath and Shower', 'Hair Care']",3
560,bath towel,['Bath and Shower'],3
561,shower,['Bath and Shower'],3
562,sunscreen,['Deodorant and Antiperspirant'],3
563,Perfume,"['Deodorant and Antiperspirant', 'Perfume and Fragrance']",3
564,perfume,"['Deodorant and Antiperspirant', 'Perfume and Fragrance']",3
565,Christian music,"['Concerts & Music Events', 'Religious Events', 'Music and Audio', 'Religion & Spirituality']",3
566,wig,"['Hair Care', 'Beauty']",3
567,hair slide,['Hair Care'],3
568,Hair dryer,"['Hair Care', 'Hair Care', 'Hair Care']",3
569,hair spray,['Hair Care'],3
570,Hair spray,['Hair Care'],3
571,beauty_salon,"['Hair Care', 'Makeup and Accessories', 'Nail Care', 'Beauty']",3
572,Cosmetics,"['Makeup and Accessories', 'Nail Care', 'Beauty']",3
573,Face powder,['Makeup and Accessories'],3
574,face powder,['Makeup and Accessories'],3
575,lipstick,"['Makeup and Accessories', 'Beauty']",3
576,Lipstick,['Makeup and Accessories'],3
577,Nail,['Nail Care'],3
578,Toothbrush,['Oral care'],3
579,Scarf,"[""Women's Clothing""]",3
580,stole,"[""Women's Clothing""]",3
581,sweatshirt,"[""Women's Clothing"", ""Men's Clothing""]",3
582,bikini,"[""Women's Clothing""]",3
583,bonnet,['Beauty'],3
584,brassiere,['Beauty'],3
585,Remote control,"['Technology & Computing', 'Consumer Electronics', 'Television', 'Video Gaming']",3
586,hand-held computer,"['Technology & Computing', 'Tablets and E-readers']",3
587,digital clock,"['Technology & Computing', 'Consumer Electronics']",3
588,typewriter keyboard,"['Technology & Computing', 'Desktops']",3
589,Computer mouse,"['Technology & Computing', 'Desktops', 'Laptops', 'Video Gaming']",3
590,Computer monitor,"['Technology & Computing', 'Desktops', 'Laptops', 'Consumer Electronics', 'Television', 'Video Gaming']",3
591,desktop computer,"['Technology & Computing', 'Desktops', 'Laptops']",3
592,Tripod,['Cameras and Camcorders'],3
593,tripod,['Cameras and Camcorders'],3
594,lens cap,['Cameras and Camcorders'],3
595,reflex camera,['Cameras and Camcorders'],3
596,Polaroid camera,['Cameras and Camcorders'],3
597,printer,['Desktops'],3
598,monitor,['Desktops'],3
599,computer_room,"['Desktops', 'Laptops', 'Technology & Computing']",3
600,server_room,"['Desktops', 'Laptops']",3
601,Tablet computer,"['Tablets and E-readers', 'Consumer Electronics']",3
602,Sewing machine,['Consumer Electronics'],3
603,remote control,"['Consumer Electronics', 'Television']",3
604,Digital clock,['Consumer Electronics'],3
605,projector,['Consumer Electronics'],3
606,iPod,['Consumer Electronics'],3
607,digital watch,['Consumer Electronics'],3
608,radio,['Consumer Electronics'],3
609,home theater,['Television'],3
610,television_room,"['Television', 'Home Entertaining', 'Movies']",3
611,home_theater,"['Television', 'Movies']",3
612,screen,['Television'],3
613,television_studio,['Television'],3
614,television,['Television'],3
615,Palm tree,"['Travel', 'Cruises']",3
616,Suitcase,"['Travel', 'Travel Accessories']",3
617,airport_terminal,"['Travel', 'Air Travel']",3
618,subway_station/platform,['Travel'],3
619,school bus,['Travel'],3
620,Taxi,"['Travel', 'Travel Locations']",3
621,train_station/platform,"['Travel', 'Rail Travel']",3
622,Train,"['Travel', 'Rail Travel', 'Logistics and Transportation Industry', 'Rail Travel', 'Rail Travel']",3
623,seashore,"['Africa Travel', 'Beach Travel', 'Cruises', 'Europe Travel', 'North America Travel', 'Polar Travel', 'South America Travel']",3
624,watering_hole,['Africa Travel'],3
625,African elephant,['Africa Travel'],3
626,desert/sand,"['Africa Travel', 'Beach Travel']",3
627,African grey,['Africa Travel'],3
628,Christmas music,"['Music and Audio', 'Holiday Shopping']",3
629,Church bell,"['Religious Events', 'Religion & Spirituality']",3
630,Clarinet,['Musical Instruments'],3
631,Classical music,"['Concerts & Music Events', 'Music and Audio']",3
632,temple/asia,['Asia Travel'],3
633,umbrella,['Beach Travel'],3
634,swimming_pool/outdoor,['Beach Travel'],3
635,lagoon,['Beach Travel'],3
636,beach,['Beach Travel'],3
637,walking stick,['Camping'],3
638,sleeping bag,['Camping'],3
639,Tent,['Camping'],3
640,campsite,"['Camping', 'Travel Accessories']",3
641,paddlewheel,['Cruises'],3
642,catamaran,['Cruises'],3
643,Gondola,['Europe Travel'],3
644,triumphal arch,['Europe Travel'],3
645,European gallinule,['Europe Travel'],3
646,gondola,['Europe Travel'],3
647,four-poster,['Hotels and Motels'],3
648,chalet,['Hotels and Motels'],3
649,hotel/outdoor,['Hotels and Motels'],3
650,hotel_room,['Hotels and Motels'],3
651,motel,['Hotels and Motels'],3
652,ski mask,['Polar Travel'],3
653,tundra,['Polar Travel'],3
654,dogsled,['Polar Travel'],3
655,iceberg,['Polar Travel'],3
656,steel arch bridge,['Rail Travel'],3
657,viaduct,['Rail Travel'],3
658,streetcar,['Rail Travel'],3
659,railroad_track,"['Rail Travel', 'Logistics and Transportation Industry']",3
660,steam locomotive,['Rail Travel'],3
661,Country,"['North America Travel', 'South America Travel', 'Africa Travel', 'Europe Travel']",3
662,megalith,['South America Travel'],3
663,Alpaca,['South America Travel'],3
664,backpack,['Travel Accessories'],3
665,geyser,['Travel Locations'],3
666,joystick,['Video Gaming'],3
667,Human hand,['Family and Relationships'],3
668,'groom',"['Family and Relationships', 'Wedding']",3
669,'bridegroom',"['Family and Relationships', 'Wedding']",3
670,Dance music,"['Concerts & Music Events', 'Music and Audio']",3
671,'Life',"['Family and Relationships', 'Parenting', 'Single Life', 'Single Life', 'Education industry', 'Primary Education', 'Events and Attractions', 'Parks & Nature', 'Personal Celebrations & Life Events', 'Religious Events', 'Theater Venues and Events', 'Family and Relationships', 'Daycare and Pre-School', 'Single Life', 'Healthy Living', 'Pop Culture', 'Religion & Spirituality', 'Personal Celebrations & Life Events', 'Family and Relationships', 'Single Life', 'Home & Garden', 'Home Security', 'Education', 'Hobbies & Interests', 'Parenting', 'Parenting']",3
672,'Family',"['Family and Relationships', 'Family and Relationships', 'Parenting', 'Parenting', 'Single Life', 'Single Life', 'Personal Celebrations & Life Events', 'Family and Relationships', 'Single Life', 'Home & Garden', 'Home Security', 'Family and Relationships', 'Single Life', 'Parenting', 'Parenting']",3
673,'Relationship',"['Family and Relationships', 'Dating', 'Parenting', 'Parenting', 'Single Life', 'Single Life', 'Single Life', 'Family and Relationships', 'Single Life', 'Family and Relationships', 'Single Life', 'Family and Relationships', 'Single Life', 'Dating', 'Dating', 'Parenting', 'Parenting', 'Parenting']",3
674,'Love',"['Dating', 'Parenting', 'Single Life', 'Family and Relationships', 'Single Life', 'Dating', 'Parenting']",3
675,carrying baby,['Parenting'],3
676,baby waking up,['Parenting'],3
677,"Dental drill, dentist's drill","['Medical Health', 'Oral care']",3
678,"Dishes, pots, and pans","['Food & Drink', 'Cooking', 'Desserts and Baking']",3
679,'People',"['Single Life', 'Pop Culture', 'Education industry', 'Primary Education', 'Events and Attractions', 'Parks & Nature', 'Personal Celebrations & Life Events', 'Religious Events', 'Theater Venues and Events', 'Family and Relationships', 'Daycare and Pre-School', 'Single Life', 'Healthy Living', 'Pop Culture', 'Religion & Spirituality', 'Personal Celebrations & Life Events', 'Family and Relationships', 'Single Life', 'Dining Out', 'Healthy Living', 'Books and Literature', 'Education industry', 'Fashion Events', 'Religious Events', 'Family and Relationships', 'World Cuisines', 'Pop Culture', 'Religion & Spirituality', 'South America Travel', 'Education', 'Hobbies & Interests', 'Parenting', 'Religion & Spirituality']",3
680,Banana,['Healthy Living'],3
681,tennis ball,['Healthy Living'],3
682,strawberry,['Healthy Living'],3
683,massaging person's head,['Healthy Living'],3
684,riding or walking with horse,"['Healthy Living', 'Large Animals']",3
685,exercising arm,"['Healthy Living', 'Fitness and Exercise']",3
686,yoga,"['Healthy Living', 'Fitness and Exercise', 'Wellness']",3
687,exercising with an exercise ball,"['Healthy Living', 'Fitness and Exercise']",3
688,Carrot,['Healthy Living'],3
689,Orange,['Healthy Living'],3
690,pill bottle,['Medical Health'],3
691,operating_room,['Medical Health'],3
692,oxygen mask,['Medical Health'],3
693,Ambulance,['Medical Health'],3
694,'medicine chest',['Medical Health'],3
695,'medicine cabinet',['Medical Health'],3
696,Medical equipment,['Medical Health'],3
697,hospital_room,['Medical Health'],3
698,hospital,['Medical Health'],3
699,'television',"['Movies', 'Entertainment Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Smart Home', 'Music and Audio', 'Consumer Electronics', 'Television', 'Video Gaming']",3
700,'television system',"['Movies', 'Entertainment Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Smart Home', 'Music and Audio', 'Consumer Electronics', 'Television', 'Video Gaming']",3
701,'Entertainment',"['Movies', 'Entertainment Industry', 'Media Industry', 'Awards Shows', 'Cinemas and Events', 'Comedy Events', 'Movies', 'Pop Culture', 'Television']",3
702,'Showbiz',"['Movies', 'Entertainment Industry', 'Media Industry', 'Awards Shows', 'Cinemas and Events', 'Comedy Events', 'Movies', 'Pop Culture', 'Television']",3
703,'Film',"['Movies', 'Entertainment Industry', 'Media Industry', 'Awards Shows', 'Cinemas and Events', 'Comedy Events', 'Movies', 'Pop Culture', 'Television']",3
704,'home theater',"['Movies', 'Home Entertaining', 'Music and Audio', 'Houses', 'Television', 'Video Gaming', 'Sports', 'Video Gaming', 'Sports']",3
705,'home theatre',"['Movies', 'Home Entertaining', 'Music and Audio', 'Houses', 'Television', 'Video Gaming', 'Sports', 'Video Gaming', 'Sports']",3
706,'theater curtain',"['Movies', 'Theater Venues and Events', 'Cinemas and Events']",3
707,'theatre curtain',"['Movies', 'Theater Venues and Events', 'Cinemas and Events']",3
708,'cinema',"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Comedy Events', 'Music and Audio']",3
709,'movie theater',"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Comedy Events', 'Music and Audio']",3
710,'movie theatre',"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Comedy Events', 'Music and Audio']",3
711,'movie house',"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Comedy Events', 'Music and Audio']",3
712,'picture palace',"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Comedy Events', 'Music and Audio']",3
713,'Race',"['Pop Culture', 'Books and Literature', 'Education industry', 'Fashion Events', 'Religious Events', 'Family and Relationships', 'World Cuisines', 'Pop Culture', 'Religion & Spirituality', 'South America Travel']",3
714,'Culture',"['Pop Culture', 'Books and Literature', 'Education industry', 'Fashion Events', 'Religious Events', 'Family and Relationships', 'World Cuisines', 'Pop Culture', 'Religion & Spirituality', 'South America Travel']",3
715,"Domestic animals, pets","['Pets', 'Birds', 'Cats', 'Dogs', 'Large Animals', 'Reptiles']",3
716,stadium/soccer,['Sports'],3
717,racket,['Sports'],3
718,Baseball bat,['Sports'],3
719,Football helmet,['Sports'],3
720,soccer ball,['Sports'],3
721,ski,['Sports'],3
722,'ski',"['Sports', 'Outdoor Activities', 'Travel Accessories', 'Travel']",3
723,football helmet,['Sports'],3
724,'football helmet',"['Sports', ""Men's Clothing""]",3
725,ballplayer,['Sports'],3
726,rugby ball,['Sports'],3
727,Tennis racket,"['Sports', 'Sports']",3
728,'paddle',"['Sports', 'Outdoor Activities']",3
729,'boat paddle',"['Sports', 'Outdoor Activities']",3
730,'parallel bars',"['Sports', 'Fitness and Exercise']",3
731,'bars',"['Sports', 'Fitness and Exercise']",3
732,Sports uniform,"['Sports', ""Women's Clothing"", ""Men's Clothing""]",3
733,hurling (sport),['Sports'],3
734,athletic_field/outdoor,['Sports'],3
735,'sports car',"['Sports', 'Automotive', 'Auto Body Styles', 'Convertible', 'Luxury Cars', 'Auto Type', 'Auto Shows', 'Auto Rentals', 'Automotive Industry', 'Travel']",3
736,'sport car',"['Sports', 'Automotive', 'Auto Body Styles', 'Convertible', 'Luxury Cars', 'Auto Type', 'Auto Shows', 'Auto Rentals', 'Automotive Industry', 'Travel']",3
737,scoreboard,['Sports'],3
738,'Sports',"['Sports', 'Entertainment Industry', 'Outdoor Activities', 'Fitness and Exercise', 'Sports', 'Wellness']",3
739,Shorts,"[""Men's Clothing"", ""Women's Clothing""]",3
740,'sandal',"[""Men's Clothing"", ""Women's Shoes and Footwear"", 'Style & Fashion', ""Women's Clothing""]",3
741,'running shoe',"[""Men's Clothing"", ""Women's Shoes and Footwear"", 'Style & Fashion', ""Women's Clothing""]",3
742,'cardigan',"[""Men's Clothing"", 'Style & Fashion', ""Women's Clothing"", ""Women's Formal Wear"", ""Men's Formal Wear"", 'Shopping', 'Shopping']",3
743,'jersey',"[""Men's Clothing"", 'Apparel Industry', ""Women's Clothing"", ""Men's Casual Wear""]",3
744,'T-shirt',"[""Men's Clothing"", 'Apparel Industry', ""Women's Clothing"", ""Men's Casual Wear""]",3
745,'tee shirt',"[""Men's Clothing"", 'Apparel Industry', ""Women's Clothing"", ""Men's Casual Wear""]",3
746,'suit',"[""Men's Clothing"", 'Apparel Industry', 'Fashion Events', 'Style & Fashion', ""Women's Clothing"", ""Women's Formal Wear"", ""Men's Formal Wear"", 'Prom']",3
747,'suit of clothes',"[""Men's Clothing"", 'Apparel Industry', 'Fashion Events', 'Style & Fashion', ""Women's Clothing"", ""Women's Formal Wear"", ""Men's Formal Wear"", 'Prom']",3
748,sandal,"[""Women's Shoes and Footwear""]",3
749,'Fashion',"[""Women's Shoes and Footwear"", 'Entertainment Industry', 'Apparel Industry', 'Fashion Events', 'Pop Culture', 'Shopping', 'Style & Fashion', 'Beauty', 'Makeup and Accessories', ""Women's Handbags and Wallets"", ""Women's Jewelry and Watches"", ""Women's Clothing"", ""Women's Formal Wear"", ""Women's Shoes and Footwear"", ""Men's Clothing"", ""Men's Casual Wear"", ""Men's Formal Wear""]",3
750,'Lifestyle',"[""Women's Shoes and Footwear"", 'Entertainment Industry', 'Apparel Industry', 'Fashion Events', 'Pop Culture', 'Shopping', 'Style & Fashion', 'Beauty', 'Makeup and Accessories', ""Women's Handbags and Wallets"", ""Women's Jewelry and Watches"", ""Women's Clothing"", ""Women's Formal Wear"", ""Women's Shoes and Footwear"", ""Men's Clothing"", ""Men's Casual Wear"", ""Men's Formal Wear""]",3
751,Sandal,"[""Women's Shoes and Footwear""]",3
752,'Loafer',"[""Women's Shoes and Footwear""]",3
753,'shoe shop',"[""Women's Shoes and Footwear"", 'Apparel Industry', 'Retail Industry', 'Malls & Shopping Centers', 'Retail Property', 'Shopping', 'Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear"", 'Travel Accessories']",3
754,'shoe-shop',"[""Women's Shoes and Footwear"", 'Apparel Industry', 'Retail Industry', 'Malls & Shopping Centers', 'Retail Property', 'Shopping', 'Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear"", 'Travel Accessories']",3
755,'shoe store',"[""Women's Shoes and Footwear"", 'Apparel Industry', 'Retail Industry', 'Malls & Shopping Centers', 'Retail Property', 'Shopping', 'Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear"", 'Travel Accessories']",3
756,High heels,"[""Women's Shoes and Footwear""]",3
757,outdoor,"['Landscaping', 'Beach Travel', 'Flower Shopping', 'Camping', 'Outdoor Activities', 'Barbecues and Grilling', 'Cooking', 'Home & Garden', 'Outdoor Activities', 'Shopping', 'Travel Locations', 'Outdoor Activities', 'Outdoor Activities', 'Bars & Restaurants', 'Dining Out', 'Travel Locations', 'Outdoor Activities', 'Sports', 'Outdoor Activities', 'North America Travel', 'South America Travel', 'Outdoor Activities', 'Pets', 'Dogs', 'Events and Attractions', 'Outdoor Activities', 'Events and Attractions', 'Outdoor Activities', 'Home & Garden', 'Landscaping', 'Theater Venues and Events', 'Landscaping', 'Outdoor Activities']",3
758,arcade,['Games and Puzzles'],3
759,hockey,['Sports'],3
760,performance,"['Theater Venues and Events', 'Concerts & Music Events']",3
761,shop,['Holiday Shopping'],3
762,baseball_field,['Sports'],3
763,indoor,"['Sports', 'Religious Events', 'Shopping', 'Flower Shopping', 'Shopping', 'Household Supplies', 'Gardening', 'Cinemas and Events', 'Movies', 'Events and Attractions', 'Malls & Shopping Centers', 'Shopping', 'Fitness and Exercise']",3
764,bedroom,['Apartments'],3
765,building_facade,"['Remodeling & Construction', 'Houses']",3
766,canyon,['North America Travel'],3
767,childs_room,"[""Children's Games and Toys""]",3
768,clean_room,"['Healthy Living', 'Home & Garden']",3
