item,node_id,IAB_Candidates,H_Scores
gown,2398,"['Apparel Industry', 'Fashion Events', 'Style & Fashion', ""Women's Clothing"", ""Women's Formal Wear""]","[0.743545995, 0.750370993, 0.748479122, 0.84062912, 0.881159475]"
stopwatch,22240,"[""Women's Jewelry and Watches"", 'Consumer Electronics']","[0.775214176, 0.71901258]"
bathing_cap,6349,"['Healthy Living', 'Medical Health', 'Education', 'Sports']","[1.0, 1.0, 1.0, 1.0]"
balance_beam,49395,['Fitness and Exercise'],[0.7413849659999999]
beach_waggon,17934,"['Station Wagon', 'Travel']","[0.978162367, 1.0]"
wheelbarrow,4948,"['Home & Garden', 'Gardening', 'Landscaping']","[0.737058219, 0.75148269, 0.732089512]"
man-eater,114598,['Large Animals'],[0.744134087]
indigo_bunting,2433,['Birds'],[0.776091247]
pets,2657,"['Pets', 'Cats', 'Dogs', 'Large Animals']","[0.931252259, 0.840195182, 0.8419054970000001, 0.760571825]"
bottle_screw,61456,"['Cooking', 'Events and Attractions']","[0.76443839, 1.0]"
desk,676,"['Office Property', 'Education', 'Business and Finance']","[0.747103066, 1.0, 1.0]"
red_panda,2062,['Large Animals'],[0.773266625]
maze,6450,['Outdoor Activities'],[0.763356919]
sea_wolf,9275,['Large Animals'],[0.714841607]
teddy_bear,5601,"[""Children's Games and Toys"", 'Birthday']","[0.72407991, 0.6937410559999999]"
manufactured_home,36742,"['Logistics and Transportation Industry', 'Remodeling & Construction', 'Home Improvement', 'Real Estate', 'Houses']","[0.7202487609999999, 0.7582122020000001, 0.857331428, 0.77668683, 0.805088527]"
one-armed_bandit,65489,"['Casinos & Gambling', 'Video Gaming']","[0.789404087, 1.0]"
solar_collector,8058,['Technology Industry'],[0.741753036]
microwave_oven,3929,"['Cooking', 'Home Appliances', 'Consumer Electronics']","[0.761767847, 0.777155777, 0.722142863]"
spot,306,"['Technology Industry', 'Consumer Electronics']","[0.7448645159999999, 0.807595046]"
bathing_trunks,1980,"[""Women's Clothing"", ""Men's Clothing""]","[0.737690983, 0.755149155]"
baseball_player,5242,['Sports'],[0.7379699209999999]
suit_of_clothes,58266,"[""Men's Clothing"", 'Apparel Industry', 'Fashion Events', 'Style & Fashion', ""Women's Clothing"", ""Women's Formal Wear"", ""Men's Formal Wear"", 'Prom']","[0.895601691, 0.768867772, 0.7295762, 0.768158473, 0.84946004, 0.848087533, 0.8910864340000001, 0.675522684]"
icebox,5395,['Home Appliances'],[0.7761051609999999]
painter,559,"['Cats', 'Travel']","[0.7174311290000001, 1.0]"
borzoi,5331,['Dogs'],[0.755162702]
snow_leopard,473,['Large Animals'],[0.751361462]
semi,3647,"['Commercial Trucks', 'Logistics and Transportation Industry']","[0.920690529, 0.722615795]"
west_highland_white_terrier,6185,"['Dogs', 'Large Animals']","[0.806815336, 0.7206266720000001]"
coon_bear,2528,"['Large Animals', 'Events and Attractions']","[0.7422521540000001, 1.0]"
hair_spray,527,['Beauty'],[0.702534729]
coach_dog,14994,"['Pets', 'Dogs', 'Large Animals']","[0.77844368, 0.859156327, 0.7175421820000001]"
chow,6479,['Cats'],[0.7428733240000001]
combination_lock,23740,"['Technology Industry', 'Events and Attractions']","[0.811970929, 1.0]"
megalithic_structure,69089,['Outdoor Activities'],[0.7127958870000001]
pier,1317,['Dining Out'],[0.774386805]
cape_hunting_dog,10858,['Dogs'],[0.8524347859999999]
french_bulldog,24529,['Dogs'],[0.828416459]
mountain_bike,8755,"['Parks & Nature', 'Sports']","[0.719296433, 1.0]"
moving_van,11633,"['Auto Type', 'Auto Rentals', 'Logistics and Transportation Industry']","[0.712081964, 0.726499549, 0.7161400090000001]"
frying_pan,4407,"['Cooking', 'Desserts and Baking']","[0.833810913, 0.7496542909999999]"
staffordshire_terrier,61209,['Dogs'],[0.816347918]
flowerpot,3467,['Gardening'],[0.7566378659999999]
market,1335,"['Business and Finance', 'Food Industry', 'Retail Industry', 'Food & Drink', 'Desserts and Baking', 'Retail Property', 'Shopping', 'Grocery Shopping', 'Household Supplies']","[0.7733311140000001, 0.863967368, 0.8380571059999999, 0.775782028, 0.72015559, 0.81518876, 0.825216354, 0.960761628, 0.772538293]"
television_system,65779,"['Entertainment Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Smart Home', 'Music and Audio', 'Consumer Electronics', 'Television', 'Video Gaming']","[0.801618339, 0.773447435, 0.712623978, 0.765176645, 0.731051034, 0.762531438, 0.801080472, 0.951652742, 0.729644799]"
vacuum_cleaner,5212,['Consumer Electronics'],[0.765951006]
relationship,16651,"['Family and Relationships', 'Parenting', 'Single Life', 'Personal Celebrations & Life Events', 'Family and Relationships', 'Parenting', 'Religion & Spirituality', 'Dating', 'Parenting', 'Single Life', 'Personal Celebrations & Life Events', 'Family and Relationships', 'Single Life', 'Healthy Living', 'Dating', 'Parenting', 'Single Life', 'Family and Relationships', 'Dating', 'Parenting']","[0.770721604, 0.629894775, 0.628738425, 0.7823783059999999, 0.903366144, 0.705858, 0.668902265, 0.664847693, 0.6275242360000001, 0.659750786, 0.756932878, 0.8437091459999999, 0.7897204609999999, 0.731072065, 0.681495126, 0.668160326, 0.596070494, 0.840279572, 0.681169548, 0.663230289]"
fur_coat,23558,"[""Women's Clothing"", ""Men's Clothing""]","[0.78757019, 0.799331569]"
garbage_truck,31844,"['Commercial Trucks', 'Logistics and Transportation Industry']","[0.856448076, 0.712549243]"
horse_cart,45338,"['Hobbies & Interests', 'Pets', 'Sports']","[1.0, 1.0, 1.0]"
bell_pepper,2277,"['Cooking', 'Home & Garden', 'Healthy Living']","[0.7408405929999999, 1.0, 1.0]"
radiator,2084,['Consumer Electronics'],[0.7966333259999999]
trump,568,"['Musical Instruments', 'Music and Audio']","[0.78076778, 1.0]"
food,1256,"['Food Industry', 'Bars & Restaurants', 'Food & Drink', 'World Cuisines', 'Cooking', 'Desserts and Baking', 'Dining Out', 'Grocery Shopping']","[0.8759893540000001, 0.7408902140000001, 0.8667960090000001, 0.729328503, 0.8028823009999999, 0.7874497020000001, 0.7608581440000001, 0.739485487]"
bell,484,"['Musical Instruments', 'Music and Audio', 'Events and Attractions']","[0.747099533, 1.0, 1.0]"
boat_paddle,15439,"['Sports', 'Outdoor Activities', 'Beach Travel', 'Camping']","[0.763829891, 0.7493414759999999, 0.742320553, 0.713586029]"
movie_theater,7483,"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Music and Audio', 'Television']","[0.8371503370000001, 0.7162231579999999, 0.8268268670000001, 0.875171853, 0.742720568, 0.7164709509999999]"
pop_bottle,13618,"['Food Industry', 'Non-Alcoholic Beverages']","[0.741506456, 0.795078286]"
racer,3143,"['Automotive', 'Auto Body Styles', 'Auto Type', 'Auto Shows', 'Auto Rentals']","[0.7396785640000001, 0.759071855, 0.744780995, 0.8086413840000001, 0.7529551459999999]"
taxicab,730,"['Travel', 'Travel', 'Travel', 'Travel', 'Travel', 'Travel', 'Travel']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
movie_theatre,14745,"['Movies', 'Entertainment Industry', 'Theater Venues and Events', 'Cinemas and Events', 'Music and Audio', 'Television']","[0.8371503370000001, 0.7162231579999999, 0.8268268670000001, 0.875171853, 0.742720568, 0.7164709509999999]"
hand-held_computer,29713,"['Technology Industry', 'Technology & Computing', 'Consumer Electronics', 'Tablets and E-readers']","[0.7122108140000001, 0.736553748, 0.748014098, 0.80547558]"
ipod,2336,"['Music and Audio', 'Technology & Computing', 'Movies', 'Pop Culture', 'Travel', 'Style & Fashion']","[0.7516602659999999, 1.0, 1.0, 1.0, 1.0, 1.0]"
kerry_blue_terrier,90015,['Pets'],[0.719294014]
pickup_truck,4006,"['Commercial Trucks', 'Pickup Trucks', 'Luxury Cars', 'Auto Type']","[0.808956638, 0.967530528, 0.739401805, 0.71993284]"
rotisserie,19868,['Cooking'],[0.87730404]
press,962,"['Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Formal Wear""]","[0.726366246, 0.71877271, 0.723077517, 0.710872927]"
felis_concolor,6501,"['Cats', 'Travel']","[0.7174311290000001, 1.0]"
electric_switch,76685,['Consumer Electronics'],[0.776941743]
water_ouzel,499,['Birds'],[0.790813715]
wig,690,['Style & Fashion'],[0.7270643459999999]
pomeranian,9867,['Pets'],[0.76862573]
tin_opener,58461,['Food & Drink'],[1.0]
public,8461,"['Education industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Education', 'Primary Education', 'Religious Events', 'Theater Venues and Events']","[0.766050553, 0.72335969, 0.711027005, 0.751745957, 0.7637955470000001, 0.737025879, 0.7194051379999999]"
puma,5366,"['Cats', 'Travel']","[0.7174311290000001, 1.0]"
snorkel,2562,['Outdoor Activities'],[0.761661995]
harmonica,4575,"['Musical Instruments', 'Music and Audio']","[0.794053874, 1.0]"
shoe_shop,2914,"['Apparel Industry', 'Retail Industry', 'Malls & Shopping Centers', 'Retail Property', 'Shopping', 'Style & Fashion', ""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear"", 'Travel Accessories']","[0.7280852290000001, 0.729988561, 0.744976229, 0.727997663, 0.787045105, 0.739044665, 0.780687809, 0.7900483890000001, 0.78186337, 0.723656465]"
home_theatre,38664,"['Smart Home', 'Home Entertaining', 'Music and Audio', 'Retail Property', 'Houses', 'Apartments', 'Television', 'Video Gaming', 'Sports']","[0.8227061290000001, 0.834798541, 0.7334340779999999, 0.7223535109999999, 0.776463507, 0.705040708, 0.692021621, 1.0, 1.0]"
music,182,"['Concerts & Music Events', 'Musical Instruments', 'Music and Audio', 'Pop Culture']","[0.84883788, 0.80190291, 0.878411773, 0.7724767579999999]"
albatross,3414,['Birds'],[0.844961345]
maltese,2770,"['Pets', 'Dogs']","[0.7484222340000001, 0.831199606]"
velvet,1328,"[""Women's Clothing"", ""Women's Formal Wear"", ""Women's Shoes and Footwear"", ""Men's Clothing"", ""Men's Formal Wear""]","[0.7264337009999999, 0.7537295970000001, 0.731302065, 0.731863762, 0.75695349]"
grifola_frondosa,35132,"['Food & Drink', 'Healthy Living']","[1.0, 1.0]"
catamount,4610,"['Cats', 'Cats', 'Travel']","[0.7174311290000001, 0.775467213, 1.0]"
chocolate_syrup,34081,"['Food Industry', 'Food & Drink', 'Alcoholic Beverages', 'Desserts and Baking', 'Non-Alcoholic Beverages', 'Food & Drink']","[0.731316306, 0.8063419270000001, 0.735024118, 0.883411698, 0.7316585109999999, 1.0]"
american_pit_bull_terrier,20267,['Dogs'],[0.816347918]
cornet,23,"['Musical Instruments', 'Music and Audio']","[0.78076778, 1.0]"
trucking_rig,103008,"['Commercial Trucks', 'Logistics and Transportation Industry']","[0.920690529, 0.722615795]"
clumber_spaniel,888,['Dogs'],[0.7148551459999999]
off-roader,75384,"['Parks & Nature', 'Sports']","[0.719296433, 1.0]"
hodometer,41239,"['Automotive', 'Automotive Industry', 'Consumer Electronics']","[0.763510537, 0.715653414, 0.8099763440000001]"
cocker_spaniel,2997,['Dogs'],[0.77933547]
canoe,3118,"['Beach Travel', 'Camping', 'Travel', 'Healthy Living', 'Home & Garden', 'Travel']","[0.718729883, 0.7261192320000001, 1.0, 1.0, 1.0, 1.0]"
microphone,5559,"['Music and Audio', 'Consumer Electronics']","[0.776573265, 0.767045135]"
boston_bull,35478,"['Pets', 'Dogs']","[0.71254715, 0.811585269]"
butternut_squash,35291,"['Cooking', 'Desserts and Baking', 'Healthy Living']","[0.736976748, 0.750457277, 1.0]"
four-poster,29802,['Style & Fashion'],[1.0]
love,28009,"['Dating', 'Parenting', 'Single Life', 'Personal Celebrations & Life Events', 'Family and Relationships', 'Single Life', 'Healthy Living', 'Dating', 'Parenting']","[0.664847693, 0.6275242360000001, 0.659750786, 0.756932878, 0.8437091459999999, 0.7897204609999999, 0.731072065, 0.681495126, 0.668160326]"
mashed_potato,9065,"['Food Industry', 'Food & Drink', 'Cooking']","[0.755536723, 0.781143767, 0.797162169]"
lip_rouge,1343,"['Beauty', 'Makeup and Accessories']","[0.738123874, 0.84716608]"
chrysanthemum_dog,4978,"['Pets', 'Dogs']","[0.7544281429999999, 0.841722352]"
carriage,1191,"['Logistics and Transportation Industry', 'Travel']","[0.7204749559999999, 0.699363825]"
speaker_system,27942,"['Music and Audio', 'Consumer Electronics']","[0.7500630690000001, 0.744803323]"
notebook,4360,['Laptops'],[0.893438721]
black_grouse,8827,"['Birds', 'Home & Garden']","[0.8304943090000001, 1.0]"
kite,2283,['Birds'],[0.8245725279999999]
balloon,5085,"[""Children's Games and Toys"", 'Events and Attractions']","[0.721945353, 1.0]"
trumpet,173,"['Musical Instruments', 'Music and Audio']","[0.78076778, 1.0]"
horn,1818,"['Musical Instruments', 'Musical Instruments', 'Music and Audio', 'Music and Audio']","[0.78076778, 0.78168368, 1.0, 1.0]"
laptop,3196,"['Technology & Computing', 'Laptops', 'Consumer Electronics']","[0.7409329729999999, 0.898628413, 0.796815265]"
bittern,5066,"['Birds', 'Travel']","[0.79876937, 1.0]"
upright,65,['Musical Instruments'],[0.7823162779999999]
bee_eater,32941,['Birds'],[0.8142463040000001]
cup,787,"['Cooking', 'Desserts and Baking', 'Style & Fashion', 'Home & Garden']","[0.869661005, 0.828926377, 1.0, 1.0]"
offshore_rig,19079,"['Outdoor Activities', 'Real Estate']","[0.747652242, 1.0]"
wall_clock,12670,"['Technology Industry', 'Technology & Computing']","[0.768692478, 0.7611182329999999]"
freight_car,6136,"['Asia Travel', 'Automotive']","[0.684767282, 1.0]"
grass_snake,8566,['Birds'],[0.712268217]
screen,73,['Desktops'],[0.6362829560000001]
irish_setter,748,['Dogs'],[0.75891554]
motor_scooter,9076,"['Auto Type', 'Motorcycles', 'Auto Rentals']","[0.740861338, 0.8380423379999999, 0.7240475690000001]"
switch,597,['Consumer Electronics'],[0.776941743]
vending_machine,4306,"['Food Industry', 'Retail Industry', 'Technology Industry', 'Technology & Computing']","[0.7283363740000001, 0.7279720690000001, 0.8088837729999999, 0.783800655]"
american_chameleon,3942,['Reptiles'],[0.71168795]
notebook_computer,8901,['Laptops'],[0.893438721]
cassette,7083,"['Media Industry', 'Technology Industry', 'Music and Audio', 'Music and Audio', 'Movies', 'Pop Culture']","[0.712760583, 0.8023831840000001, 0.732815653, 1.0, 1.0, 1.0]"
afghan,2001,['Dogs'],[0.7701064409999999]
bedlington_terrier,52373,"['Pets', 'Dogs']","[0.714706725, 0.7999934609999999]"
blow_drier,71869,['Hair Care'],[0.786192617]
hotdog,11199,"['Food Industry', 'Food & Drink', 'Barbecues and Grilling', 'Cooking', 'Dining Out']","[0.759341193, 0.795140961, 0.713491313, 0.757636255, 0.734433538]"
cheetah,4329,"['Cats', 'Large Animals', 'Education']","[0.8198202490000001, 0.7793905040000001, 1.0]"
indigo_finch,2432,['Birds'],[0.776091247]
scoreboard,13520,['Sports'],[0.855392409]
violoncello,4071,"['Musical Instruments', 'Music and Audio']","[0.7818995190000001, 1.0]"
lipstick,1342,"['Beauty', 'Makeup and Accessories']","[0.738123874, 0.84716608]"
pizza_pie,13980,"['Food Industry', 'Cooking', 'Dining Out', 'Grocery Shopping']","[0.767042443, 0.799883927, 0.740637275, 0.723208683]"
american_egret,28179,['Birds'],[0.790165204]
wooden_spoon,853,"['Cooking', 'Desserts and Baking']","[0.838874, 0.7987085979999999]"
rhodesian_ridgeback,13962,['Dogs'],[0.7655590809999999]
car_wheel,24810,"['Automotive', 'Commercial Trucks', 'Station Wagon', 'Pickup Trucks']","[0.79012924, 0.757134092, 0.714563663, 0.741322383]"
trailer_truck,26355,"['Commercial Trucks', 'Logistics and Transportation Industry']","[0.920690529, 0.722615795]"
cleaver,1195,['Cooking'],[0.78818102]
welsh_springer_spaniel,85140,['Dogs'],[0.802857809]
bagel,2706,"['Bars & Restaurants', 'Cooking', 'Dining Out', 'Grocery Shopping']","[0.7123146440000001, 0.765197583, 0.7113746559999999, 0.728523681]"
all-terrain_bike,77604,"['Parks & Nature', 'Sports']","[0.719296433, 1.0]"
abacus,8473,"['Technology Industry', 'Education']","[0.804807504, 1.0]"
pit_bull_terrier,24595,['Dogs'],[0.816347918]
keypad,2890,"['Technology & Computing', 'Laptops', 'Consumer Electronics', 'Desktops']","[0.740856262, 0.771642487, 0.78100591, 0.686775554]"
ailurus_fulgens,8041,['Large Animals'],[0.773266625]
labyrinth,1726,['Outdoor Activities'],[0.763356919]
rottweiler,31279,"['Pets', 'Dogs']","[0.769610463, 0.8600927859999999]"
lakeside,7603,['Parks & Nature'],[0.7553497659999999]
sunglasses,858,['Style & Fashion'],[0.730989595]
greater_swiss_mountain_dog,32663,"['Pets', 'Dogs', 'Large Animals', 'Land and Farms']","[0.7385201840000001, 0.832797371, 0.7846918629999999, 0.71880892]"
home_theater,3921,"['Smart Home', 'Home Entertaining', 'Music and Audio', 'Retail Property', 'Houses', 'Apartments', 'Television', 'Video Gaming', 'Sports']","[0.8227061290000001, 0.834798541, 0.7334340779999999, 0.7223535109999999, 0.776463507, 0.705040708, 0.692021621, 1.0, 1.0]"
bubalus_bubalis,25235,['Large Animals'],[0.7506359029999999]
tibetan_terrier,4979,"['Pets', 'Dogs']","[0.7544281429999999, 0.841722352]"
internet_site,40817,"['Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Dating']","[0.73599898, 0.7756112609999999, 0.739853487, 0.759261401, 0.789649765, 0.7459666290000001, 0.760978223, 0.671098857]"
pekingese,13363,['Dogs'],[0.7109972040000001]
church,167,"['Religious Events', 'Religion & Spirituality']","[0.7432778459999999, 1.0]"
thalarctos_maritimus,57131,['Polar Travel'],[0.794313128]
porphyrio_porphyrio,22308,"['Birds', 'Large Animals', 'Africa Travel', 'Asia Travel', 'Europe Travel', 'North America Travel', 'South America Travel']","[0.811811882, 0.733309175, 0.7497513579999999, 0.746147962, 0.7557602440000001, 0.746066789, 0.750125261]"
bakeshop,22100,['Desserts and Baking'],[0.7370943679999999]
bikini,5274,"['Style & Fashion', ""Women's Clothing"", 'Shopping']","[0.768798012, 0.832437622, 1.0]"
fashion,9072,"[""Women's Shoes and Footwear"", 'Entertainment Industry', 'Apparel Industry', 'Fashion Events', 'Pop Culture', 'Shopping', 'Style & Fashion', 'Beauty', 'Makeup and Accessories', ""Women's Handbags and Wallets"", ""Women's Jewelry and Watches"", ""Women's Clothing"", ""Women's Formal Wear"", ""Women's Shoes and Footwear"", ""Men's Clothing"", ""Men's Casual Wear"", ""Men's Formal Wear""]","[0.649694596, 0.7150018340000001, 0.750532315, 0.8432154079999999, 0.73628715, 0.722225537, 0.832043964, 0.7345091429999999, 0.7560603290000001, 0.771419783, 0.7753168490000001, 0.791085013, 0.7655697770000001, 0.777230166, 0.77565856, 0.774194103, 0.750470564]"
french_loaf,27018,"['Cooking', 'Dining Out']","[0.8037907540000001, 0.7240525329999999]"
great_pyrenees,5368,"['Pets', 'Dogs']","[0.74369265, 0.816689419]"
mexican_hairless,21863,"['Pets', 'Dogs', 'Large Animals']","[0.713743875, 0.8117515670000001, 0.72030438]"
otter_hound,8443,"['Pets', 'Dogs']","[0.7369838959999999, 0.8309702659999999]"
pretzel,5516,"['Food Industry', 'Cooking']","[0.77965309, 0.73754163]"
pug-dog,116740,"['Pets', 'Dogs']","[0.789188837, 0.863065583]"
hair_slide,14388,['Style & Fashion'],[0.738768164]
space_bar,6548,"['Technology Industry', 'Technology & Computing', 'Consumer Electronics']","[0.714879435, 0.736823621, 0.7926446690000001]"
cacatua_galerita,27035,['Birds'],[0.7879779109999999]
keeshond,4195,"['Pets', 'Dogs']","[0.7255223279999999, 0.828662575]"
sulphur-crested_cockatoo,36764,['Birds'],[0.7879779109999999]
disk_brake,3582,['Auto Parts'],[0.751509564]
file_cabinet,5357,"['Business and Finance', 'Home & Garden']","[1.0, 1.0]"
little_blue_heron,21898,['Birds'],[0.804940633]
microwave,4279,"['Cooking', 'Home Appliances', 'Consumer Electronics']","[0.761767847, 0.777155777, 0.722142863]"
slot,124,"['Casinos & Gambling', 'Video Gaming']","[0.789404087, 1.0]"
lhasa,813,['Dogs'],[0.713497685]
accordion,392,"['Musical Instruments', 'Music and Audio', 'Music and Audio']","[0.79780725, 0.7220575379999999, 1.0]"
samoyed,12785,"['Pets', 'Dogs']","[0.7252748440000001, 0.819489647]"
gordon_setter,47796,['Dogs'],[0.783716533]
stone_wall,11894,"['Home & Garden', 'Music and Audio', 'Sports', 'Hobbies & Interests', 'Education', 'Food & Drink', 'Pets']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
beach_wagon,2391,"['Station Wagon', 'Travel']","[0.978162367, 1.0]"
drop-off,10193,"['Real Estate', 'Travel']","[1.0, 1.0]"
electrical_switch,3777,['Consumer Electronics'],[0.776941743]
electric_guitar,3087,['Music and Audio'],[0.735540002]
soft-coated_wheaten_terrier,84841,['Dogs'],[0.8056613970000001]
crt_screen,42946,['Desktops'],[0.6362829560000001]
tub,678,"['Home & Garden', 'Bath and Shower', 'Bath and Shower', 'Healthy Living', 'Medical Health']","[0.733386097, 0.952007824, 0.819402078, 1.0, 1.0]"
lesser_panda,2061,['Large Animals'],[0.773266625]
mower,1960,['Landscaping'],[0.717353481]
jammies,30944,"[""Women's Clothing"", ""Men's Clothing"", ""Men's Casual Wear""]","[0.718434212, 0.733496974, 0.72317541]"
street_sign,25917,['Road-Side Assistance'],[0.7508672359999999]
orca,7894,['Large Animals'],[0.714841607]
labrador_retriever,42080,['Pets'],[0.749005475]
tiger_cat,10639,['Cats'],[0.8747376040000001]
brabancon_griffon,3523,"['Pets', 'Dogs']","[0.737658693, 0.81964035]"
squeeze_box,32278,"['Musical Instruments', 'Music and Audio', 'Music and Audio']","[0.79780725, 0.7220575379999999, 1.0]"
felis_onca,62247,['Cats'],[0.750924626]
corkscrew,12613,"['Cooking', 'Events and Attractions']","[0.76443839, 1.0]"
minivan,4867,"['Auto Parts', 'Auto Rentals']","[0.724198355, 0.730903592]"
oboe,2827,['Musical Instruments'],[0.8223355170000001]
shopping_basket,1230,['Holiday Shopping'],[0.7889256490000001]
television,1340,"['Entertainment Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Smart Home', 'Music and Audio', 'Consumer Electronics', 'Television', 'Video Gaming']","[0.801618339, 0.773447435, 0.712623978, 0.765176645, 0.731051034, 0.762531438, 0.801080472, 0.951652742, 0.729644799]"
house_finch,28166,['Birds'],[0.761299885]
ring_armour,74006,"[""Men's Clothing"", ""Men's Formal Wear"", 'Events and Attractions', 'Television']","[0.732664642, 0.7297287579999999, 1.0, 1.0]"
jean,5689,"['Style & Fashion', ""Women's Handbags and Wallets"", ""Women's Clothing"", ""Women's Shoes and Footwear"", ""Men's Clothing"", ""Men's Casual Wear""]","[0.7436001440000001, 0.733627406, 0.8056332509999999, 0.746386668, 0.7897102559999999, 0.844394781]"
walker_hound,35809,['Dogs'],[0.780741481]
haversack,26073,"['Travel Accessories', 'Education']","[0.714945823, 1.0]"
gong,1216,"['Musical Instruments', 'Music and Audio', 'Events and Attractions']","[0.747099533, 1.0, 1.0]"
shades,3626,['Style & Fashion'],[0.730989595]
technology,1338,"['Education industry', 'Financial Industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Science', 'Technology & Computing', 'Consumer Electronics', 'Smartphones']","[0.779978233, 0.742356317, 0.7682852020000001, 0.7532497890000001, 0.781390853, 0.725524908, 0.897572203, 0.7836501229999999, 0.770160283, 0.75790792, 0.728670355, 0.869161025, 0.757497807, 0.641972191]"
castle,1303,"['Events and Attractions', 'Travel', 'Education']","[1.0, 1.0, 1.0]"
pekinese,9808,['Dogs'],[0.7109972040000001]
icecream,23819,"['Food Industry', 'Food & Drink', 'Desserts and Baking']","[0.744225606, 0.805691485, 0.8303084740000001]"
jaguar,9860,['Cats'],[0.750924626]
killer,2685,['Large Animals'],[0.714841607]
alsatian,4197,['Dogs'],[0.8342992440000001]
milk_can,36962,['Food Industry'],[0.730756243]
hair_drier,1154,['Hair Care'],[0.786192617]
bow-tie,114001,"[""Men's Formal Wear"", 'Events and Attractions', 'Business and Finance']","[0.739764438, 1.0, 1.0]"
soup_bowl,13071,['Food & Drink'],[0.7619148179999999]
toilet_seat,4621,['Home Appliances'],[0.7228650959999999]
bakehouse,12661,['Desserts and Baking'],[0.7370943679999999]
chain_mail,1820,"[""Men's Clothing"", ""Men's Formal Wear"", 'Events and Attractions', 'Television']","[0.732664642, 0.7297287579999999, 1.0, 1.0]"
mitten,18146,"[""Women's Clothing"", ""Men's Clothing""]","[0.76859493, 0.7642239590000001]"
bulbul,9475,['Birds'],[0.807448429]
international,4054,"['Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Events and Attractions', 'Fashion Events', 'Concerts & Music Events', 'Medical Health', 'Travel', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'South America Travel', 'Air Travel', 'Education industry', 'Education', 'College Education', 'Religious Events', 'Pop Culture', 'Religion & Spirituality', 'Hobbies & Interests', 'Hospitality Industry', 'Events and Attractions', 'Personal Celebrations & Life Events', 'World Cuisines', 'Hotel Properties', 'Flower Shopping', 'Holiday Shopping', 'Travel', 'Travel Locations', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'South America Travel', 'Hotels and Motels', 'Rail Travel', 'Air Travel', 'Beach Travel', 'Cruises']","[0.763236789, 0.769505184, 0.7817538940000001, 0.7777089620000001, 0.754302617, 0.7553776390000001, 0.799006526, 0.7421277709999999, 0.748950082, 0.7257573, 0.764483164, 0.7197493840000001, 0.74015012, 0.713727503, 0.71460465, 0.7178211170000001, 0.7371793440000001, 0.741996678, 0.724362882, 0.740942702, 0.724261044, 0.730262117, 0.724842957, 0.790463765, 0.757885062, 0.7322559270000001, 0.765366384, 0.737175809, 0.724646107, 0.704363393, 0.7551545540000001, 0.7879134940000001, 0.794054776, 0.759310643, 0.7433559059999999, 0.7111621309999999, 0.841930944, 0.801629287, 0.79575033, 0.7963498720000001, 0.7900910090000001, 0.78419554, 0.810894697, 0.803740311, 0.8082011109999999, 0.749554374, 0.733003031, 0.782291457, 0.8334856620000001, 0.723747413]"
parallel_bars,8969,"['Sports', 'Outdoor Activities', 'Fitness and Exercise']","[0.771649038, 0.734361011, 0.75452302]"
recreational_vehicle,4887,"['Auto Type', 'Auto Rentals']","[0.71514365, 0.758220254]"
remote,783,"['Smart Home', 'Home Security', 'Technology & Computing', 'Consumer Electronics']","[0.7253921409999999, 0.743409304, 0.71695378, 0.781990958]"
banana,1522,"['Healthy Living', 'Home & Garden']","[1.0, 1.0]"
tape_player,6619,"['Music and Audio', 'Consumer Electronics']","[0.7903851390000001, 0.799024952]"
chow_chow,6404,['Cats'],[0.7428733240000001]
lens_cap,34596,['Cameras and Camcorders'],[0.718516917]
